County,,Premature death,PM2.5,Food_insecurity,Food Environment Index,Health Care Cost,,,,,,,,
Appling,,540,10.6,0.14,6.800,10563,Appling,,"2,630",14%,-0.22,-0.36,,530
Atkinson,,570,10.4,0.13,5.500,10454,Atkinson,,"1,060",13%,-0.54,-0.20,,600
Bacon,,610,10.4,0.13,7.300,11745,Bacon,,"1,490",13%,-0.54,-0.60,,600
Baker,,510,10.8,0.17,1.300,9011,Baker,,540,17%,0.10,1.64,,620
Baldwin,,470,11.4,0.23,5.100,10444,Baldwin,,"10,340",23%,1.07,1.00,,460
Banks,,420,10.4,0.10,8.100,10098,Banks,,"1,880",10%,-0.54,-1.32,,
Barrow,,430,11.1,0.11,7.700,10151,Barrow,,"7,730",11%,0.58,-1.08,170,450
Bartow,,410,11.2,0.12,6.700,10606,Bartow,,"11,990",12%,0.75,-0.20,170,420
Ben Hill,,550,10.7,0.23,4.700,9633,Ben Hill,,"3,960",23%,-0.06,1.32,,600
Berrien,,530,10.8,0.16,6.700,11855,Berrien,,"2,940",16%,0.10,0.04,,550
Bibb,,540,11.3,0.23,5.400,10440,Bibb,,"35,670",23%,0.91,1.16,,480
Bleckley,,510,11.0,0.18,6.600,10382,Bleckley,,"2,250",18%,0.42,-0.20,,500
Brantley,,560,9.5,0.13,7.200,11564,Brantley,,"2,430",13%,-1.99,-0.84,,
Brooks,,450,10.7,0.18,6.600,10654,Brooks,,"2,730",18%,-0.06,-0.12,,410
Bryan,,440,10.3,0.12,8.000,9651,Bryan,,"3,930",12%,-0.70,-0.84,,440
Bulloch,,430,10.6,0.21,5.200,10533,Bulloch,,"15,340",21%,-0.22,0.28,,400
Burke,,500,11.0,0.22,5.500,8162,Burke,,"5,120",22%,0.42,0.68,,470
Butts,,530,11.3,0.16,7.500,9919,Butts,,"3,770",16%,0.91,-0.44,,580
Calhoun,,500,10.6,0.24,4.900,9501,Calhoun,,"1,530",24%,-0.22,0.92,,430
Camden,,390,9.0,0.14,6.400,10089,Camden,,"7,190",14%,-2.80,0.04,,400
Candler,,640,10.5,0.17,6.800,12410,Candler,,"1,880",17%,-0.38,-0.28,,620
Carroll,,490,11.1,0.15,6.400,9398,Carroll,,"16,850",15%,0.58,-0.04,160,500
Catoosa,,420,11.0,0.10,7.400,10580,Catoosa,,"6,490",10%,0.42,-0.68,,
Charlton,,410,8.9,0.15,6.500,13137,Charlton,,"1,920",15%,-2.96,-0.20,,430
Chatham,,400,9.9,0.18,6.300,9266,Chatham,,"49,830",18%,-1.35,0.12,170,370
Chattahoochee,,520,11.5,0.16,3.700,9233,Chattahoochee,,"1,950",16%,1.23,2.12,,520
Chattooga,,550,10.9,0.15,7.000,10469,Chattooga,,"3,740",15%,0.26,-0.60,,560
Cherokee,,280,11.2,0.08,8.300,10411,Cherokee,,"17,730",8%,0.75,-1.32,150,290
Clarke,,350,11.0,0.22,4.200,9009,Clarke,,"26,340",22%,0.42,1.72,170,310
Clay,,530,10.5,0.28,5.100,8774,Clay,,870,28%,-0.38,3.00,,450
Clayton,,410,11.5,0.23,4.600,9336,Clayton,,"61,300",23%,1.23,1.64,180,620
Clinch,,630,9.6,0.20,6.600,13815,Clinch,,"1,380",20%,-1.83,0.28,,590
Cobb,,270,10.5,0.12,7.100,9676,Cobb,,"85,160",12%,-0.38,-0.52,170,280
Coffee,,510,10.8,0.16,5.900,11588,Coffee,,"7,070",16%,0.10,-0.04,,520
Colquitt,,520,11.0,0.15,6.400,10581,Colquitt,,"6,750",15%,0.42,-0.20,220,530
Columbia,,270,11.2,0.10,8.400,8836,Columbia,,"13,650",10%,0.75,-1.32,130,290
